Category: All categories

Day,Bitcoin: (Worldwide)
2014-05-01,92
2014-05-02,77
2014-05-03,71
2014-05-04,78
2014-05-05,91
2014-05-06,86
2014-05-07,81
2014-05-08,81
2014-05-09,83
2014-05-10,69
2014-05-11,72
2014-05-12,75
2014-05-13,82
2014-05-14,77
2014-05-15,81
2014-05-16,83
2014-05-17,74
2014-05-18,68
2014-05-19,74
2014-05-20,81
2014-05-21,88
2014-05-22,87
2014-05-23,82
2014-05-24,68
2014-05-25,87
2014-05-26,94
2014-05-27,95
2014-05-28,99
2014-05-29,97
2014-05-30,100
2014-05-31,84
2014-06-01,92
