Category: All categories

Day,Bitcoin: (Worldwide)
2014-07-01,93
2014-07-02,100
2014-07-03,88
2014-07-04,83
2014-07-05,70
2014-07-06,86
2014-07-07,97
2014-07-08,84
2014-07-09,78
2014-07-10,86
2014-07-11,88
2014-07-12,79
2014-07-13,74
2014-07-14,76
2014-07-15,83
2014-07-16,100
2014-07-17,92
2014-07-18,90
2014-07-19,90
2014-07-20,83
2014-07-21,80
2014-07-22,88
2014-07-23,83
2014-07-24,83
2014-07-25,76
2014-07-26,73
2014-07-27,76
2014-07-28,83
2014-07-29,80
2014-07-30,88
2014-07-31,85
2014-08-01,79
