Category: All categories

Day,Bitcoin: (Worldwide)
2017-08-01,94
2017-08-02,86
2017-08-03,59
2017-08-04,53
2017-08-05,68
2017-08-06,56
2017-08-07,67
2017-08-08,70
2017-08-09,62
2017-08-10,57
2017-08-11,63
2017-08-12,72
2017-08-13,89
2017-08-14,100
2017-08-15,100
2017-08-16,84
2017-08-17,83
2017-08-18,84
2017-08-19,77
2017-08-20,70
2017-08-21,70
2017-08-22,79
2017-08-23,73
2017-08-24,70
2017-08-25,72
2017-08-26,62
2017-08-27,57
2017-08-28,63
2017-08-29,72
2017-08-30,77
2017-08-31,81
2017-09-01,87
