Category: All categories

Day,Dogecoin: (Worldwide)
2017-10-01,77
2017-10-02,59
2017-10-03,68
2017-10-04,65
2017-10-05,65
2017-10-06,58
2017-10-07,68
2017-10-08,71
2017-10-09,73
2017-10-10,78
2017-10-11,80
2017-10-12,71
2017-10-13,81
2017-10-14,92
2017-10-15,90
2017-10-16,100
2017-10-17,82
2017-10-18,76
2017-10-19,67
2017-10-20,77
2017-10-21,92
2017-10-22,82
2017-10-23,73
2017-10-24,88
2017-10-25,74
2017-10-26,65
2017-10-27,72
2017-10-28,73
2017-10-29,79
2017-10-30,90
2017-10-31,78
2017-11-01,72
