Category: All categories

Day,Bitcoin: (Worldwide)
2016-10-01,65
2016-10-02,62
2016-10-03,63
2016-10-04,66
2016-10-05,67
2016-10-06,65
2016-10-07,68
2016-10-08,67
2016-10-09,67
2016-10-10,67
2016-10-11,77
2016-10-12,76
2016-10-13,78
2016-10-14,69
2016-10-15,66
2016-10-16,64
2016-10-17,69
2016-10-18,71
2016-10-19,67
2016-10-20,69
2016-10-21,63
2016-10-22,66
2016-10-23,70
2016-10-24,73
2016-10-25,73
2016-10-26,77
2016-10-27,85
2016-10-28,87
2016-10-29,100
2016-10-30,86
2016-10-31,82
2016-11-01,93
