Category: All categories

Day,Dogecoin: (Worldwide)
2015-07-01,70
2015-07-02,62
2015-07-03,98
2015-07-04,89
2015-07-05,80
2015-07-06,76
2015-07-07,69
2015-07-08,71
2015-07-09,100
2015-07-10,85
2015-07-11,84
2015-07-12,52
2015-07-13,78
2015-07-14,72
2015-07-15,73
2015-07-16,74
2015-07-17,73
2015-07-18,76
2015-07-19,66
2015-07-20,57
2015-07-21,73
2015-07-22,70
2015-07-23,78
2015-07-24,85
2015-07-25,73
2015-07-26,56
2015-07-27,91
2015-07-28,53
2015-07-29,78
2015-07-30,66
2015-07-31,92
2015-08-01,54
