Category: All categories

Day,Dogecoin: (Worldwide)
2017-05-01,24
2017-05-02,27
2017-05-03,24
2017-05-04,36
2017-05-05,32
2017-05-06,41
2017-05-07,59
2017-05-08,49
2017-05-09,40
2017-05-10,40
2017-05-11,43
2017-05-12,39
2017-05-13,35
2017-05-14,38
2017-05-15,36
2017-05-16,26
2017-05-17,27
2017-05-18,41
2017-05-19,36
2017-05-20,42
2017-05-21,77
2017-05-22,100
2017-05-23,100
2017-05-24,94
2017-05-25,90
2017-05-26,68
2017-05-27,51
2017-05-28,53
2017-05-29,55
2017-05-30,45
2017-05-31,54
2017-06-01,48
