Category: All categories

Day,Dogecoin: (Worldwide)
2016-07-01,91
2016-07-02,100
2016-07-03,93
2016-07-04,82
2016-07-05,77
2016-07-06,78
2016-07-07,52
2016-07-08,66
2016-07-09,55
2016-07-10,40
2016-07-11,83
2016-07-12,34
2016-07-13,65
2016-07-14,38
2016-07-15,52
2016-07-16,78
2016-07-17,82
2016-07-18,70
2016-07-19,54
2016-07-20,47
2016-07-21,45
2016-07-22,57
2016-07-23,46
2016-07-24,83
2016-07-25,46
2016-07-26,48
2016-07-27,85
2016-07-28,60
2016-07-29,61
2016-07-30,65
2016-07-31,82
2016-08-01,58
