Category: All categories

Day,Bitcoin: (Worldwide)
2013-10-01,13
2013-10-02,31
2013-10-03,54
2013-10-04,34
2013-10-05,27
2013-10-06,22
2013-10-07,23
2013-10-08,22
2013-10-09,20
2013-10-10,18
2013-10-11,16
2013-10-12,16
2013-10-13,15
2013-10-14,17
2013-10-15,19
2013-10-16,20
2013-10-17,18
2013-10-18,19
2013-10-19,20
2013-10-20,19
2013-10-21,19
2013-10-22,25
2013-10-23,25
2013-10-24,22
2013-10-25,23
2013-10-26,28
2013-10-27,26
2013-10-28,28
2013-10-29,63
2013-10-30,100
2013-10-31,68
2013-11-01,50
