Category: All categories

Day,Dogecoin: (Worldwide)
2016-12-01,44
2016-12-02,74
2016-12-03,52
2016-12-04,64
2016-12-05,49
2016-12-06,64
2016-12-07,35
2016-12-08,42
2016-12-09,58
2016-12-10,47
2016-12-11,38
2016-12-12,62
2016-12-13,49
2016-12-14,43
2016-12-15,48
2016-12-16,45
2016-12-17,42
2016-12-18,55
2016-12-19,64
2016-12-20,35
2016-12-21,52
2016-12-22,63
2016-12-23,64
2016-12-24,57
2016-12-25,57
2016-12-26,100
2016-12-27,73
2016-12-28,69
2016-12-29,62
2016-12-30,42
2016-12-31,62
2017-01-01,76
