Category: All categories

Day,Ripple: (Worldwide)
2016-10-05,90
2016-10-06,85
2016-10-07,83
2016-10-08,81
2016-10-09,77
2016-10-10,92
2016-10-11,87
2016-10-12,93
2016-10-13,88
2016-10-14,90
2016-10-15,77
2016-10-16,77
2016-10-17,90
2016-10-18,95
2016-10-19,100
2016-10-20,93
2016-10-21,91
2016-10-22,88
2016-10-23,76
2016-10-24,91
2016-10-25,90
2016-10-26,100
2016-10-27,80
2016-10-28,90
2016-10-29,76
2016-10-30,79
2016-10-31,69
2016-11-01,82
2016-11-02,97
2016-11-03,90
2016-11-04,91
2016-11-05,79
