Category: All categories

Day,Bitcoin: (Worldwide)
2017-07-01,41
2017-07-02,41
2017-07-03,40
2017-07-04,42
2017-07-05,42
2017-07-06,44
2017-07-07,41
2017-07-08,39
2017-07-09,39
2017-07-10,45
2017-07-11,52
2017-07-12,49
2017-07-13,46
2017-07-14,45
2017-07-15,52
2017-07-16,58
2017-07-17,55
2017-07-18,54
2017-07-19,50
2017-07-20,56
2017-07-21,55
2017-07-22,48
2017-07-23,48
2017-07-24,48
2017-07-25,52
2017-07-26,51
2017-07-27,49
2017-07-28,54
2017-07-29,46
2017-07-30,45
2017-07-31,57
2017-08-01,100
