Category: All categories

Day,Bitcoin: (Worldwide)
2017-03-01,60
2017-03-02,72
2017-03-03,95
2017-03-04,77
2017-03-05,63
2017-03-06,70
2017-03-07,71
2017-03-08,77
2017-03-09,72
2017-03-10,100
2017-03-11,82
2017-03-12,63
2017-03-13,65
2017-03-14,62
2017-03-15,61
2017-03-16,64
2017-03-17,65
2017-03-18,74
2017-03-19,68
2017-03-20,63
2017-03-21,63
2017-03-22,64
2017-03-23,62
2017-03-24,63
2017-03-25,68
2017-03-26,57
2017-03-27,57
2017-03-28,58
2017-03-29,56
2017-03-30,54
2017-03-31,52
2017-04-01,53
