Category: All categories

Day,Bitcoin: (Worldwide)
2015-08-01,100
2015-08-02,83
2015-08-03,73
2015-08-04,70
2015-08-05,68
2015-08-06,64
2015-08-07,63
2015-08-08,61
2015-08-09,61
2015-08-10,59
2015-08-11,64
2015-08-12,65
2015-08-13,67
2015-08-14,61
2015-08-15,58
2015-08-16,63
2015-08-17,59
2015-08-18,75
2015-08-19,90
2015-08-20,81
2015-08-21,75
2015-08-22,70
2015-08-23,74
2015-08-24,84
2015-08-25,86
2015-08-26,73
2015-08-27,63
2015-08-28,65
2015-08-29,64
2015-08-30,64
2015-08-31,63
2015-09-01,64
