Category: All categories

Day,Litecoin: (Worldwide)
2014-08-05,68
2014-08-06,66
2014-08-07,100
2014-08-08,59
2014-08-09,70
2014-08-10,67
2014-08-11,71
2014-08-12,72
2014-08-13,73
2014-08-14,70
2014-08-15,70
2014-08-16,65
2014-08-17,89
2014-08-18,97
2014-08-19,89
2014-08-20,70
2014-08-21,79
2014-08-22,54
2014-08-23,71
2014-08-24,78
2014-08-25,62
2014-08-26,56
2014-08-27,33
2014-08-28,56
2014-08-29,35
2014-08-30,54
2014-08-31,65
2014-09-01,50
2014-09-02,59
2014-09-03,61
2014-09-04,67
2014-09-05,54
