username,created,location,has_location,is_verified,total_tweets,total_following,total_followers,total_likes,has_avatar,has_background,is_protected,profile_modified
kevinedmunds644,2018-03-17,0,0,0,2923,52,16,0,0,1,0,1
Amandee60834957,2018-03-13,0,0,0,632,320,26,600,0,1,0,1
one_cryptocrowd,2017-09-23,0,0,0,120,267,83,39,1,0,0,1
CareyWatson19,2018-06-04,0,0,0,2922,0,13,0,1,1,0,1
ahmedlais1,2018-05-22,0,0,0,320,221,78,280,1,1,0,1
Vicco93165127,2018-06-28,0,0,0,14,6,5,0,1,1,0,1
DomainBookers,2013-09-30,0,0,0,59876,3,396,1908,1,1,0,1
GammonsRoy,2018-06-04,0,0,0,3233,0,9,0,1,1,0,1
vasa_develop,2017-08-05,0,0,0,150,76,79,80,1,0,0,1
dilip9525,2017-12-10,0,0,0,483,255,30,165,1,1,0,1
RitaFelder4,2018-06-05,0,0,0,3228,1,10,0,1,1,0,1
