username,created,location,has_location,is_verified,total_tweets,total_following,total_followers,total_likes,has_avatar,has_background,is_protected,profile_modified
Michael69720465,2018-06-04,0,0,0,3234,0,14,0,1,1,0,1
agarwalvaibhav6,2011-03-26,0,0,0,1694,1495,254,988,1,1,0,1
raiviswin,2017-12-17,0,0,0,1143,333,160,990,1,1,0,1
HojixLee,2018-01-04,0,0,0,8820,0,35,0,1,1,0,1
yokokondashin,2010-06-11,0,0,0,2168,7487,7438,1603,1,1,0,1
BancCoin,2018-02-08,0,0,0,44,382,71,59,1,0,0,1
Bubbcle,2017-03-11,,1,0,17238,4639,3243,4463,1,1,0,1
CyclopsWK,2013-02-10,0,0,0,4219,447,220,11366,1,1,0,1
jeu154,2010-05-14,decentralized land,1,0,30511,80,643,10689,1,1,0,1
_WhyzGuy_,2016-11-09,0,0,0,41945,2980,996,18037,1,0,0,1
deeptiadlakha,2014-03-20,United Kingdom & India,1,0,4135,4366,1454,1902,1,1,0,1
ElijahZinoviev,2012-10-07,0,0,0,259,5690,5689,191,1,0,0,1
AirDropExpert,2018-02-02,0,0,0,1052,600,1351,120,1,1,0,1
Bubbcle,2017-03-11,,1,0,17239,4639,3243,4464,1,1,0,1
Vicco93165127,2018-06-28,0,0,0,16,6,5,0,1,1,0,1
CryptoAndMetals,2015-07-04,0,0,0,3267,336,258,322,1,1,0,1
NathanOTCTrader,2015-10-27,0,0,0,8445,937,476,3419,1,0,0,1
Choudry_Nasir,2012-12-11,Multan pakistan,1,0,3673,4975,1123,2461,1,1,0,1
SimonErm,2013-05-29,0,0,0,10774,1381,269,4169,1,1,0,1
coindl_net,2018-07-24,0,0,0,89,5,2,0,1,1,0,1
santhosh121081,2018-01-10,0,0,0,833,2205,396,505,1,1,0,1
RandolphMlny,2017-01-08,0xbE6cb25854073B6f2efcCE48A74E110Ae5ac87f1,1,0,987,419,645,63,1,1,0,1
gingerbubbles73,2012-07-13,0,0,0,11084,1432,1049,5391,1,1,0,1
ElijahZinoviev,2012-10-07,0,0,0,260,5690,5689,192,1,0,0,1
anna_calcagni,2018-02-08,0,0,0,213,174,14,214,1,1,0,1
Bubbcle,2017-03-11,,1,0,17240,4639,3243,4465,1,1,0,1
bernieceprzybi9,2018-07-27,0,0,0,7,0,0,0,1,1,0,1
CHalexov2016,2016-04-23,0,0,0,14825,490,40817,25624,1,1,0,1
marina_biksa,2013-02-10,0,0,0,10295,11535,10608,9211,1,0,0,1
babobobobobo111,2018-04-13,0,0,0,4995,19,6,0,0,1,0,1
th0maspee,2011-08-02,0,0,0,3743,1019,616,16184,1,0,0,1
luckyranjan786,2014-08-28,,1,0,725,329,105,828,1,1,0,1
Hiroyuk84577546,2018-05-12,0,0,0,32,64,5,2,0,1,0,1
agarwalvaibhav6,2011-03-26,0,0,0,1695,1495,254,989,1,1,0,1
DomainBookers,2013-09-30,0,0,0,59877,3,396,1908,1,1,0,1
Bearbullmarker,2016-01-07,,1,0,283,251,71,397,1,1,0,1
BTCbitmap,2015-04-05,0,0,0,24550,104,462,1,1,1,0,1
Jay_Profits,2015-12-04,0,0,0,61732,2398,2484,245,1,1,0,1
TheBitcoinKing,2014-08-26,0,0,0,11772,139,3032,1880,1,0,0,1
Gabbas89475643,2018-05-22,0,0,0,3583,1929,508,1587,1,1,0,1
bernie8859,2011-06-03,"Maple Ridge, B.C.",1,0,116445,111,937,51696,1,1,0,1
ChakmaKolomoni,2018-05-20,0,0,0,223,188,10,138,0,1,0,1
Manikally_Kaos,2014-03-09,"Walsall, England",1,0,1757,4272,938,924,1,1,0,1
Amansur2017,2017-10-29,0,0,0,314,473,59,52,1,1,0,1
Jay_Profits,2015-12-04,0,0,0,61733,2398,2484,245,1,1,0,1
_WhyzGuy_,2016-11-09,0,0,0,41946,2980,996,18038,1,0,0,1
marina_biksa,2013-02-10,0,0,0,10296,11535,10608,9212,1,0,0,1
EthereumStockPr,2018-03-07,0,0,0,35963,2209,419,0,1,1,0,1
BTCbitmap,2015-04-05,0,0,0,24551,104,462,1,1,1,0,1
tokens_guru,2018-02-21,0,0,0,351,590,654,295,1,0,0,1
DCamilus,2015-05-08,0,0,0,8,10,23,2,0,1,0,1
i_robertjones,2018-04-16,0,0,0,111,679,271,7,1,0,0,1
__MsTrepreneur,2015-08-19,0,0,0,737,2775,4190,448,1,1,0,1
jugenorb,2015-06-03,0,0,0,4800,627,194,6585,1,1,0,1
Block101coin,2018-04-17,0,0,0,1277,169,117,1079,1,1,0,1
5065ferma,2018-07-26,0,0,0,4,3,0,0,1,1,0,1
OceanviewSr,2018-07-21,0,0,0,21,28,12,38,1,1,0,1
StellarStick,2017-12-11,0,0,0,98,35,17,1034,0,1,0,1
CryptoNewswire,2016-09-02,0,0,0,94983,199,9576,0,1,1,0,1
vijayragav127,2015-12-03,0,0,0,5970,774,584,17810,1,1,0,1
lindsacain,2018-07-09,0,0,0,10,61,2,9,1,1,0,1
famywufofun,2015-05-10,0,0,0,262,987,695,141,1,0,0,1
djboobytrvp,2014-04-23,"Pennsylvania, USA",1,0,38,620,856,4153,1,0,0,1
maruf_h20,2017-10-23,0,0,0,1753,4769,4293,697,1,1,0,1
BorisBateman,2017-10-31,0,0,0,6445,4958,3394,4381,1,0,0,1
Chrissy93131636,2017-11-30,0,0,0,26902,5002,392,324,1,0,0,1
propify_online,2017-04-10,0,0,0,1630,3311,1408,2020,1,0,0,1
CoinsAirdrops,2018-02-24,0,0,0,563,539,480,37,1,1,0,1
ChrisJordanTwit,2018-01-08,0,0,0,14485,56,34,0,1,1,0,1
ninhsuunhi,2018-03-21,0,0,0,32,187,40,30,1,1,0,1
debradating,2016-12-25,0,0,0,132412,3836,380,572,1,1,0,1
amajoroperation,2010-09-02,0,0,0,15614,884,159,2681,1,1,0,1
HarcharnSinghLo,2012-05-26,0,0,0,61,57,20,90,0,1,0,1
The_Mainlander,2008-04-30,Melbourne,1,0,14180,1987,1196,17375,1,1,0,1
agarwalvaibhav6,2011-03-26,0,0,0,1696,1495,254,990,1,1,0,1
DomainBookers,2013-09-30,0,0,0,59878,3,396,1908,1,1,0,1
mittalmanishm,2016-10-29,0,0,0,117,160,42,471,1,1,0,1
Ectini06,2013-04-13,0,0,0,2042,660,94,5015,1,0,0,1
Amandee60834957,2018-03-13,0,0,0,634,320,26,601,0,1,0,1
Prisma_intel,2018-05-17,0,0,0,961,335,445,292,1,0,0,1
Aajaxsamex,2013-05-09,0,0,0,2675,4990,3466,1259,1,1,0,1
Saptak013,2011-08-25,0,0,0,1423,225,479,2973,1,1,0,1
colyabit,2018-02-24,0,0,0,608,5428,4915,540,1,0,0,1
Nano_coin,2016-11-16,0,0,0,347869,2701,3189,18830,1,1,0,1
lan_fin,2009-03-03,0,0,0,1761,151,117,3097,1,1,0,1
EmekaEbenezer,2018-07-08,0,0,0,202,74,20,11,0,1,0,1
BornChampion01,2018-02-15,0,0,0,419,564,79,244,0,1,0,1
ElijahZinoviev,2012-10-07,0,0,0,262,5690,5689,194,1,0,0,1
LitecoinUKs,2017-09-12,0,0,0,60354,2839,2942,76,1,1,0,1
CqWCDv8OBwZSuzH,2018-01-31,0,0,0,1130,2056,37,1035,0,1,0,1
jasmine22682,2016-02-16,0,0,0,28616,9824,10606,17581,1,0,0,1
ResRGFauABLmDD3,2017-12-17,0,0,0,4088,6869,6732,4250,1,1,0,1
sabrinagodboldt,2011-05-31,caen,1,0,37357,54,6,0,1,1,0,1
takeshi3344,2013-01-27,0,0,0,193,49,21,12,1,1,0,1
Rafallol7,2017-03-13,0,0,0,5065,128,188,8573,1,1,0,1
bradymcds,2018-02-22,0,0,0,5850,3888,2995,3934,1,0,0,1
Mycryptencies,2016-04-25,0,0,0,4060,3504,1698,2892,1,0,0,1
trihadinasrul,2010-08-31,,1,0,20712,3140,3236,12916,1,1,0,1
aItcoinist,2018-04-27,0,0,0,5227,1054,280,424,1,1,0,1
serxndipitypjm,2016-03-29,En el corazón de Han Jisung ❤️,1,0,5008,249,292,16032,1,0,0,1
SumaelSam,2018-04-18,0,0,0,14655,118,29,11506,1,1,0,1
devnullius,2009-05-19,0,0,0,442936,93815,54903,49806,1,1,0,1
bitcoinvigil,2017-12-29,0,0,0,40613,2091,1659,66,1,1,0,1
KenFeltman,2009-07-01,0,0,0,57440,2120,2515,19,1,1,0,1
bgcoin,2014-03-09,Switzerland,1,0,17835,2640,1645,14352,1,0,0,1
cysites,2018-04-26,0,0,0,552,51,18,0,1,1,0,1
anna_calcagni,2018-02-08,0,0,0,215,174,14,216,1,1,0,1
parvezbt,2018-05-10,0,0,0,918,4599,2317,686,1,1,0,1
BCHNewsUpdates,2018-02-10,0,0,0,1856,293,464,2264,1,1,0,1
nhethathe,2013-11-25,"South Africa,Gauteng province",1,0,6702,4974,1623,1841,1,1,0,1
OyetunjiOyepej1,2018-01-24,0,0,0,511,605,179,213,1,1,0,1
BonnieFRobinson,2012-09-30,0,0,0,16244,4544,5387,40195,1,0,0,1
frederikro,2009-04-01,₿russels,1,0,12046,171,752,22127,1,0,0,1
kriptosan797,2018-04-15,0,0,0,7681,1723,1654,5176,1,0,0,1
vovik152,2012-05-18,0,0,0,8608,10915,10739,8283,1,1,0,1
vova072,2013-10-08,0,0,0,84,188,13,62,1,1,0,1
SergeyB03860193,2018-06-23,0,0,0,62,60,5,101,0,1,0,1
BeachBumElla,2017-08-18,0,0,0,6069,4734,3517,4006,1,0,0,1
CoinAirdropsAll,2018-04-16,0,0,0,161,234,287,0,1,1,0,1
nefertititrade,2018-03-02,0,0,0,9346,0,61,0,1,1,0,1
meghihana,2018-06-03,0,0,0,555,644,145,434,1,1,0,1
SSQS5,2014-11-30,0,0,0,2024,7292,7236,1876,1,1,0,1
nefertititrade,2018-03-02,0,0,0,9347,0,61,0,1,1,0,1
hieu53286368,2018-07-28,0,0,0,2,9,1,0,0,1,0,1
ghostaloco,2017-06-09,0,0,0,4048,2485,1785,2458,1,1,0,1
RiponRa98964905,2018-07-05,0,0,0,299,331,36,131,1,0,0,1
cyberboyIndia,2012-12-09,0,0,0,2797,885,4108,1717,1,0,0,1
