Date,"bitcoin","litecoin","ethereum","dashpay","dogecoin","stellar","ripple","monero"
2016-06-14,10859,366,3211,126,610,35,415,414
2016-06-15,10005,341,2800,158,543,28,347,365
2016-06-16,10618,331,3091,136,502,36,323,154
2016-06-17,10851,364,7939,152,523,40,328,212
2016-06-18,8859,336,5854,166,424,25,229,300
2016-06-19,9315,357,4562,149,519,27,267,202
2016-06-20,11896,355,4434,140,539,31,410,191
2016-06-21,11977,401,4253,162,530,23,311,147
2016-06-22,9837,309,2923,138,580,37,424,147
2016-06-23,9912,785,2277,125,485,36,507,122
2016-06-24,19135,572,1788,109,534,25,363,93
2016-06-25,12669,251,1403,83,693,17,253,104
2016-06-26,8292,284,1270,106,534,16,209,129
2016-06-27,11629,281,1873,120,540,28,339,120
2016-06-28,10003,286,1915,148,542,29,310,115
2016-06-29,10158,228,1933,127,467,36,348,134
2016-06-30,9599,299,1857,137,444,24,304,110
2016-07-01,8764,247,1511,112,451,23,322,107
2016-07-02,7717,232,1108,119,389,29,192,106
2016-07-03,8615,234,1288,117,405,12,241,106
2016-07-04,9364,247,1599,165,416,20,296,131
2016-07-05,9447,278,1805,145,422,44,383,120
2016-07-06,9129,321,1534,133,433,40,303,153
2016-07-07,9574,242,1513,112,425,28,289,162
2016-07-08,8771,235,1249,123,404,23,222,156
2016-07-09,8843,278,1021,80,390,17,162,123
2016-07-10,10305,270,1137,112,385,19,202,99
2016-07-11,10443,244,1437,148,415,21,307,87
2016-07-12,10146,253,1366,114,400,25,249,134
2016-07-13,10027,262,1295,108,410,30,279,93
2016-07-14,9109,216,1357,115,377,18,252,96
2016-07-15,8596,264,1258,88,354,30,243,82
2016-07-16,7157,196,973,87,303,18,165,62
2016-07-17,8148,168,946,97,318,15,193,71
2016-07-18,8920,233,1337,105,353,22,298,88
2016-07-19,8270,313,1537,139,344,32,332,118
2016-07-20,8357,246,1971,124,342,21,291,88
2016-07-21,8658,199,3688,143,341,20,337,106
2016-07-22,9800,210,2607,141,371,20,246,88
2016-07-23,6549,215,1733,138,333,50,174,85
2016-07-24,7274,224,1627,118,299,20,170,113
2016-07-25,9280,218,2349,145,393,40,255,113
2016-07-26,10095,236,4121,134,406,31,303,102
2016-07-27,10107,237,2956,112,399,26,284,118
2016-07-28,9118,214,2285,164,399,29,278,74
2016-07-29,8102,190,1697,115,385,26,238,72
2016-07-30,7619,186,1286,126,324,13,171,72
2016-07-31,68433,194,1356,116,393,16,172,111
2016-08-01,7849,213,1660,151,409,39,314,85
2016-08-02,8291,229,1843,140,415,25,276,94
2016-08-03,18927,296,2940,141,493,35,325,109
2016-08-04,12782,258,2182,135,426,19,298,99
2016-08-05,9473,191,1718,126,399,19,219,84
2016-08-06,7570,180,1192,104,363,22,179,76
2016-08-07,13610,240,1429,122,376,23,205,85
2016-08-08,12052,239,1853,124,458,43,301,90
2016-08-09,11249,221,1619,118,463,15,271,123
2016-08-10,9015,200,1458,113,385,22,275,87
2016-08-11,8400,239,1399,127,390,31,277,231
2016-08-12,7756,215,1354,181,356,19,244,100
2016-08-13,6851,161,942,179,330,16,144,95
2016-08-14,6860,194,1006,223,346,19,158,104
2016-08-15,7890,205,1485,270,438,20,236,232
2016-08-16,8422,216,1494,249,410,23,302,190
2016-08-17,8694,232,1410,255,456,23,298,126
2016-08-18,10122,192,1341,226,385,17,277,132
2016-08-19,8392,156,1348,210,370,15,277,136
2016-08-20,6836,171,1146,154,358,19,171,137
2016-08-21,7330,212,1178,145,396,21,210,177
2016-08-22,8395,196,1666,170,449,20,267,1036
2016-08-23,8897,248,1737,159,554,30,403,1250
2016-08-24,9239,252,1600,158,465,26,804,846
2016-08-25,8900,199,1935,168,366,35,993,694
2016-08-26,8442,193,1530,130,347,18,507,516
2016-08-27,7126,172,1252,138,348,10,230,586
2016-08-28,7543,216,1535,126,320,17,259,1128
2016-08-29,8722,239,1778,137,810,21,470,1303
2016-08-30,8666,221,1624,152,404,24,329,1216
2016-08-31,9172,224,1565,153,367,25,333,900
2016-09-01,8596,166,1427,139,359,28,303,767
2016-09-02,8115,198,1430,147,348,22,280,717
2016-09-03,7347,213,1096,109,319,12,172,1134
2016-09-04,7896,220,1104,147,442,16,260,1104
2016-09-05,9039,205,1266,168,369,34,277,1435
2016-09-06,9374,221,1637,148,359,27,315,1058
2016-09-07,9426,207,1508,136,392,20,305,657
2016-09-08,10042,184,1343,153,327,19,310,585
2016-09-09,9121,184,1254,141,355,21,259,669
2016-09-10,8218,203,971,136,341,33,186,467
2016-09-11,7890,191,1119,153,384,18,201,955
2016-09-12,10175,199,1471,157,409,28,242,1112
2016-09-13,11035,217,1841,168,344,21,269,944
2016-09-14,10442,224,1567,146,360,24,327,634
2016-09-15,10277,208,1319,134,368,37,637,594
2016-09-16,10414,174,1325,124,380,23,565,517
2016-09-17,9034,182,1121,80,308,12,267,361
2016-09-18,9227,229,1265,104,363,18,261,353
