Date,Trend
2015-07-25,92
2015-07-26,76
2015-07-27,80
2015-07-28,72
2015-07-29,66
2015-07-30,65
2015-07-31,71
2015-08-01,63
2015-08-02,66
2015-08-03,69
2015-08-04,72
2015-08-05,65
2015-08-06,63
2015-08-07,63
2015-08-08,51
2015-08-09,59
2015-08-10,64
2015-08-11,58
2015-08-12,59
2015-08-13,57
2015-08-14,54
2015-08-15,51
2015-08-16,53
2015-08-17,58
2015-08-18,56
2015-08-19,55
2015-08-20,57
2015-08-21,58
2015-08-22,50
2015-08-23,80
2015-08-24,100
2015-08-25,69
2015-08-26,67
2015-08-27,63
2015-08-28,55
2015-08-29,53
2015-08-30,56
2015-08-31,57
2015-09-01,65
2015-09-02,57
2015-09-03,60
2015-09-04,57
2015-09-05,73
2015-09-06,78
2015-09-07,78
2015-09-08,90
2015-09-09,93
2015-09-10,89
2015-09-11,76
2015-09-12,75
2015-09-13,77
2015-09-14,81
2015-09-15,100
2015-09-16,80
2015-09-17,85
2015-09-18,86
2015-09-19,70
2015-09-20,70
2015-09-21,85
2015-09-22,81
2015-09-23,83
2015-09-24,76
2015-09-25,79
2015-09-26,70
2015-09-27,68
2015-09-28,84
2015-09-29,85
2015-09-30,81
2015-10-01,90
2015-10-02,77
2015-10-03,73
2015-10-04,59
2015-10-05,86
2015-10-06,91
2015-10-07,89
2015-10-08,84
2015-10-09,86
2015-10-10,72
2015-10-11,71
2015-10-12,80
2015-10-13,89
2015-10-14,86
2015-10-15,82
2015-10-16,79
2015-10-17,72
2015-10-18,67
2015-10-19,87
2015-10-20,89
2015-10-21,82
2015-10-22,81
2015-10-23,83
2015-10-24,77
2015-10-25,69
2015-10-26,88
2015-10-27,91
2015-10-28,87
2015-10-29,87
2015-10-30,79
2015-10-31,70
2015-11-01,76
2015-11-02,92
2015-11-03,100
2015-11-04,92
2015-11-05,96
2015-11-06,100
2015-11-07,77
2015-11-08,72
2015-11-09,83
2015-11-10,81
2015-11-11,80
2015-11-12,85
2015-11-13,77
2015-11-14,67
2015-11-15,65
2015-11-16,84
2015-11-17,80
2015-11-18,80
2015-11-19,82
2015-11-20,73
2015-11-21,68
2015-11-22,76
2015-11-23,87
2015-11-24,91
