Date,Trend
2015-01-04,83
2015-01-05,43
2015-01-06,51
2015-01-07,50
2015-01-08,78
2015-01-09,29
2015-01-10,91
2015-01-11,98
2015-01-12,98
2015-01-13,83
2015-01-14,84
2015-01-15,23
2015-01-16,39
2015-01-17,40
2015-01-18,26
2015-01-19,38
2015-01-20,52
2015-01-21,48
2015-01-22,34
2015-01-23,23
2015-01-24,26
2015-01-25,35
2015-01-26,29
2015-01-27,29
2015-01-28,19
2015-01-29,41
2015-01-30,23
2015-01-31,35
2015-02-01,47
2015-02-02,41
2015-02-03,37
2015-02-04,22
2015-02-05,15
2015-02-06,16
2015-02-07,17
2015-02-08,26
2015-02-09,77
2015-02-10,63
2015-02-11,100
2015-02-12,98
2015-02-13,51
2015-02-14,62
2015-02-15,97
2015-02-16,74
2015-02-17,52
2015-02-18,46
2015-02-19,73
2015-02-20,21
2015-02-21,96
2015-02-22,53
2015-02-23,50
2015-02-24,45
2015-02-25,61
2015-02-26,76
2015-02-27,37
2015-02-28,71
2015-03-01,29
2015-03-02,100
2015-03-03,75
2015-03-04,55
2015-03-05,41
2015-03-06,32
2015-03-07,60
2015-03-08,36
2015-03-09,40
2015-03-10,70
2015-03-11,51
2015-03-12,46
2015-03-13,84
2015-03-14,77
2015-03-15,24
2015-03-16,10
2015-03-17,32
2015-03-18,29
2015-03-19,31
2015-03-20,36
2015-03-21,61
2015-03-22,59
2015-03-23,46
2015-03-24,45
2015-03-25,100
2015-03-26,53
2015-03-27,39
2015-03-28,26
2015-03-29,51
2015-03-30,27
2015-03-31,32
2015-04-01,25
2015-04-02,18
2015-04-03,14
2015-04-04,23
2015-04-05,15
2015-04-06,18
2015-04-07,8
2015-04-08,15
2015-04-09,17
2015-04-10,20
2015-04-11,18
2015-04-12,17
2015-04-13,17
2015-04-14,12
2015-04-15,100
2015-04-16,70
2015-04-17,94
2015-04-18,72
2015-04-19,47
2015-04-20,60
2015-04-21,40
2015-04-22,20
2015-04-23,51
2015-04-24,52
2015-04-25,36
2015-04-26,23
2015-04-27,50
2015-04-28,69
2015-04-29,59
2015-04-30,83
2015-05-01,68
2015-05-02,72
2015-05-03,47
2015-05-04,80
2015-05-05,30
2015-05-06,40
2015-05-07,61
2015-05-08,42
2015-05-09,48
2015-05-10,72
2015-05-11,79
2015-05-12,40
2015-05-13,50
2015-05-14,51
2015-05-15,56
2015-05-16,100
2015-05-17,37
2015-05-18,52
2015-05-19,41
2015-05-20,41
2015-05-21,32
2015-05-22,44
2015-05-23,25
2015-05-24,25
2015-05-25,88
2015-05-26,82
2015-05-27,21
2015-05-28,31
2015-05-29,33
2015-05-30,38
2015-05-31,25
2015-06-01,62
2015-06-02,42
2015-06-03,21
2015-06-04,76
2015-06-05,44
2015-06-06,25
2015-06-07,25
2015-06-08,41
2015-06-09,42
2015-06-10,31
2015-06-11,53
2015-06-12,22
2015-06-13,50
2015-06-14,50
2015-06-15,0
2015-06-16,0
2015-06-17,33
2015-06-18,34
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,100
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,81
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,34
2015-07-08,33
2015-07-09,0
2015-07-10,35
2015-07-11,41
2015-07-12,0
2015-07-13,0
2015-07-14,67
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,33
2015-07-19,100
2015-07-20,54
2015-07-21,0
2015-07-22,0
2015-07-23,53
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,27
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,26
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,25
2015-08-13,26
2015-08-14,0
2015-08-15,100
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,86
2015-08-22,0
2015-08-23,0
2015-08-24,81
2015-08-25,82
2015-08-26,0
2015-08-27,83
2015-08-28,87
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,97
2015-09-06,0
2015-09-07,0
2015-09-08,80
2015-09-09,0
2015-09-10,0
2015-09-11,84
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,50
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,60
2015-09-20,0
2015-09-21,50
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,61
2015-09-27,0
2015-09-28,100
2015-09-29,50
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,52
2015-10-10,0
2015-10-11,0
2015-10-12,51
