Date,Open,Close,High,Low,Volume,Percentage Change,Classification
0,8.589999999999999e-06,9.07e-06,9.5e-06,8.04e-06,49.56299260000001,0.01227678544819355,0
3,9.18e-06,8.84e-06,9.41e-06,8.099999999999999e-06,56.70758569,0.009132419712841509,0
6,8.84e-06,8.289999999999999e-06,8.900000000000001e-06,7.97e-06,54.528731789999995,0.01660735532641411,1
9,8.31e-06,8.099999999999999e-06,8.5e-06,4.8100000000000005e-06,160.73990715999997,0.07428571581840515,1
12,8.099999999999999e-06,8.53e-06,9.13e-06,8.06e-06,98.50284074000001,0.02957906760275364,1
15,8.550000000000001e-06,8.449999999999999e-06,9.15e-06,8.34e-06,16.92118093,0.05269058421254158,1
18,8.49e-06,1.05e-05,1.105e-05,8.390000000000001e-06,93.26027859999999,0.06707317382097244,0
21,1.052e-05,1.083e-05,1.18e-05,9.55e-06,239.05797349,0.004595588427037001,1
24,1.086e-05,1.0600000000000004e-05,1.18e-05,1.046e-05,81.59855292000002,0.02021174132823944,0
27,1.0600000000000004e-05,1.031e-05,1.068e-05,9.800000000000001e-06,39.21403790000001,0.03306613117456436,0
30,1.031e-05,9.4e-06,1.045e-05,8.5e-06,44.92729283,0.015118790790438654,0
33,9.46e-06,9.44e-06,9.6e-06,9e-06,12.534992770000004,0.02164502255618572,0
36,9.44e-06,9.23e-06,9.69e-06,8.869999999999996e-06,24.00116912,0.03854166716337204,1
39,9.23e-06,9.58e-06,9.9e-06,8.789999999999999e-06,33.54135593,0.007360673043876886,0
42,9.58e-06,9.42e-06,9.59e-06,9.12e-06,6.51059648,0.027262814342975616,0
45,9.42e-06,9.039999999999996e-06,9.539999999999997e-06,8.759999999999999e-06,9.847994800000002,0.016872890293598175,0
48,9.039999999999996e-06,8.69e-06,9.05e-06,8.17e-06,23.74253192,0.008120649494230747,0
51,8.65e-06,8.14e-06,9.53e-06,7.13e-06,69.68483361000001,0.10352423042058943,1
54,8.119999999999997e-06,8.449999999999999e-06,9.699999999999999e-06,8.01e-06,35.08542462999999,0.0,1
57,8.449999999999999e-06,8.589999999999999e-06,8.66e-06,8.14e-06,4.14191732,0.048840049654245384,0
60,8.58e-06,8.71e-06,8.939999999999999e-06,8.109999999999999e-06,16.20783977,0.012790697626769544,0
63,8.71e-06,8.380000000000001e-06,8.75e-06,8.16e-06,7.07527678,0.09405405074357986,1
66,8.37e-06,7.75e-06,9.27e-06,6.639999999999997e-06,50.04251839999999,0.09463276714086533,0
69,7.75e-06,7.48e-06,7.9e-06,6.62e-06,18.225458690000004,0.021857922896742817,0
72,7.48e-06,7.099999999999997e-06,7.48e-06,6.69e-06,11.04510906,0.00566572230309248,0
75,7.099999999999997e-06,7.01e-06,7.69e-06,6.75e-06,20.133761250000003,0.04160475358366966,0
78,7.15e-06,6.77e-06,7.16e-06,5.11e-06,54.730388760000004,0.02731411159038544,0
81,6.76e-06,6.53e-06,6.7999999999999976e-06,6.12e-06,37.20754612,0.004573170561343432,1
84,6.5199999999999986e-06,5.98e-06,7.17e-06,5.81e-06,35.89274562000001,0.19599999487400052,0
87,5.9e-06,5.09e-06,6.06e-06,4.27e-06,57.413646270000015,0.02004007995128632,0
90,5.09e-06,5.08e-06,5.09e-06,4.62e-06,11.14413915,0.016000000759959217,0
93,5.059999999999998e-06,5.98e-06,6.15e-06,4.78e-06,11.51623293,0.011570247821509838,1
96,6.0099999999999975e-06,5.71e-06,6.29e-06,5.65e-06,7.02937431,0.01890034414827824,1
99,5.83e-06,5.6399999999999985e-06,5.83e-06,5.400000000000002e-06,4.75433419,0.005291005130857229,1
102,5.69e-06,5.67e-06,5.81e-06,5.299999999999998e-06,9.014775460000001,0.016129031777381897,0
105,5.67e-06,5.63e-06,5.67e-06,5.49e-06,0.82325808,0.0,1
108,5.63e-06,5.18e-06,5.7999999999999995e-06,5.0999999999999995e-06,10.12479638,0.06147541105747222,0
111,5.18e-06,4.54e-06,5.18e-06,4.16e-06,19.224001880000003,0.02483069896697998,0
114,4.56e-06,4.57e-06,4.759999999999999e-06,4.25e-06,4.757739129999999,0.019313305616378784,1
117,4.509999999999998e-06,4.58e-06,5.01e-06,4.34e-06,7.630038170000001,0.01927194930613041,1
120,4.58e-06,5.53e-06,5.78e-06,4.4e-06,22.660877090000007,0.0595238097012043,1
123,5.44e-06,4.849999999999999e-06,5.88e-06,4.57e-06,47.1889069,0.043010752648115165,0
126,4.87e-06,4.21e-06,4.87e-06,4.139999999999999e-06,6.29591839,0.08226221054792404,0
129,4.29e-06,3.95e-06,4.39e-06,3e-06,42.301244440000005,0.017412934452295303,1
132,3.95e-06,3.96e-06,4.34e-06,3.86e-06,23.88627997,0.019801979884505272,1
135,4.02e-06,3.87e-06,5.36e-06,3.86e-06,56.50045235,0.0051413881592452535,1
138,3.87e-06,4.15e-06,4.16e-06,3.01e-06,44.46856129000001,0.014669926837086678,0
141,4.15e-06,4.1e-06,4.18e-06,4e-06,155.092893,0.009661835618317129,1
144,4.09e-06,4.04e-06,4.58e-06,3.84e-06,80.81012929,0.002481389557942748,0
147,4.04e-06,4.059999999999998e-06,4.17e-06,3.83e-06,96.49933991000003,0.0330788791179657,0
150,4.059999999999998e-06,3.84e-06,4.09e-06,3.71e-06,83.1530105,0.010309278033673763,1
153,3.87e-06,3.95e-06,4.16e-06,3.500000000000001e-06,72.03455989,0.03403141349554062,0
156,3.94e-06,4.28e-06,4.28e-06,3.79e-06,43.179470130000006,0.004651162773370743,1
159,4.28e-06,4.519999999999998e-06,4.78e-06,4.08e-06,32.449844420000005,0.027272727340459824,0
162,4.47e-06,4.53e-06,5.33e-06,4.16e-06,88.5032103,0.053488373756408684,0
165,4.64e-06,4.4e-06,4.8100000000000005e-06,4e-06,71.56910624000001,0.035294119268655784,0
168,4.41e-06,4.37e-06,4.71e-06,3.7000000000000006e-06,79.81526998,0.08958332985639572,1
171,4.37e-06,4.95e-06,5.43e-06,4.219999999999999e-06,155.41415480999999,0.015904571861028668,1
174,4.97e-06,4.669999999999999e-06,5.389999999999998e-06,4.26e-06,36.158748599999996,0.020964359864592552,1
177,4.669999999999999e-06,4.839999999999999e-06,5.05e-06,4.509999999999998e-06,119.19481116000001,0.059080962091684334,0
180,4.849999999999999e-06,5e-06,5e-06,4.48e-06,51.48217281,0.02459016442298889,0
183,4.97e-06,4.839999999999999e-06,5.09e-06,4.5e-06,83.45319425000001,0.023255813866853714,0
186,4.87e-06,5.66e-06,6.2e-06,4.69e-06,247.18471748,0.030965391546487805,0
189,5.6399999999999985e-06,5.33e-06,6.19e-06,5.16e-06,115.63156735000001,0.0966101661324501,1
192,5.32e-06,4.99e-06,7.000000000000002e-06,4.769999999999998e-06,257.11840512000003,0.0,1
195,4.99e-06,4.849999999999999e-06,5.299999999999998e-06,4.509999999999998e-06,84.59363130999999,0.06359649449586867,0
198,4.849999999999999e-06,4.509999999999998e-06,4.89e-06,4.1900000000000005e-06,90.25356402999999,0.01576576568186283,0
201,4.44e-06,4.62e-06,4.89e-06,4.35e-06,58.1883399,0.045248869806528084,0
204,4.62e-06,4.38e-06,4.8e-06,4.219999999999999e-06,56.14063992,0.017937220633029938,1
207,4.38e-06,4.53e-06,4.69e-06,4.08e-06,62.09391817999999,0.0043956045992672435,1
210,4.5e-06,5.27e-06,6.53e-06,4.219999999999999e-06,629.5569681,0.005725190974771977,0
213,5.27e-06,6.29e-06,7.24e-06,5.059999999999998e-06,485.54289661,0.09965035319328308,0
216,6.24e-06,5.17e-06,6.56e-06,4.63e-06,547.62133056,0.02783300168812275,0
219,5.19e-06,5.11e-06,5.58e-06,4.79e-06,119.2557612,0.003929273225367068,0
222,5.03e-06,5.05e-06,5.34e-06,4.74e-06,182.41289689,0.014056225307285786,0
225,5.03e-06,4.97e-06,5.23e-06,4.9000000000000005e-06,66.67504427,0.006000000052154064,1
228,4.96e-06,4.96e-06,5.15e-06,4.8100000000000005e-06,87.24099293,0.0,1
231,4.99e-06,5.01e-06,5.389999999999998e-06,4.45e-06,175.66115163,0.01829268224537373,0
234,5.03e-06,4.83e-06,5.16e-06,4.71e-06,66.83789372000001,0.016293279826641083,1
237,4.849999999999999e-06,5.41e-06,5.849999999999997e-06,4.74e-06,218.42963694,0.0074487896636128426,0
240,5.44e-06,5.0999999999999995e-06,5.96e-06,4.92e-06,430.87201201,0.011904762126505377,0
243,5.0999999999999995e-06,4.8e-06,5.44e-06,4.7e-06,143.03768667000003,0.08352144807577133,0
246,4.8e-06,4.35e-06,4.91e-06,3.4e-07,280.06101589,0.0,1
249,4.35e-06,4.35e-06,4.61e-06,4e-06,93.73121107,0.018058691173791885,1
252,4.35e-06,4.42e-06,4.48e-06,4.2999999999999995e-06,29.303698769999997,0.04245283082127571,0
255,4.43e-06,4.21e-06,4.45e-06,3.5499999999999986e-06,87.36826969,0.014051522128283978,1
258,4.21e-06,4.23e-06,4.38e-06,4.1100000000000005e-06,36.62340823,0.06549118459224701,0
261,4.18e-06,4.12e-06,4.4e-06,3.33e-06,186.95564129000002,0.03512880578637123,1
264,4.12e-06,4.1900000000000005e-06,4.49e-06,4.08e-06,71.08538583,0.012077294290065764,0
267,4.1900000000000005e-06,4.1900000000000005e-06,4.28e-06,4.02e-06,52.44763456000001,0.024449877440929413,0
270,4.1900000000000005e-06,3.99e-06,4.28e-06,3.9e-06,40.90594937,0.01785714365541935,0
273,3.99e-06,3.88e-06,4.07e-06,3.86e-06,36.47277109,0.017721518874168396,1
276,3.89e-06,3.88e-06,3.99e-06,3.75e-06,56.706667159999995,0.0025706940796226267,1
279,3.89e-06,3.85e-06,3.96e-06,3.75e-06,20.09538292,0.02666666731238365,0
282,3.84e-06,3.73e-06,3.85e-06,3.67e-06,27.516904970000002,0.031168831512331963,1
285,3.73e-06,3.68e-06,3.85e-06,3.5099999999999994e-06,107.21591073000002,0.0,1
288,3.68e-06,3.45e-06,3.85e-06,3.43e-06,60.053421900000004,0.0029069767333567142,0
291,3.47e-06,2.92e-06,4e-06,2.81e-06,121.40369751,0.04285714402794838,0
294,2.92e-06,2.73e-06,2.96e-06,2.5300000000000003e-06,82.64178635,0.007272727321833372,1
297,2.73e-06,2.77e-06,3.05e-06,2.66e-06,35.675363790000006,0.045283019542694085,0
300,2.78e-06,2.56e-06,2.8e-06,2.48e-06,25.347398259999995,0.01587301678955555,0
303,2.57e-06,2.51e-06,2.6e-06,2.4500000000000003e-06,22.103451369999995,0.07720588147640227,1
306,2.5300000000000003e-06,2.41e-06,2.82e-06,2.39e-06,31.986122179999995,0.03879310190677643,0
309,2.41e-06,2.43e-06,2.84e-06,2.12e-06,80.98044214999999,0.10958904027938844,0
312,2.43e-06,2.27e-06,2.4900000000000003e-06,2.08e-06,46.36088527999999,0.01304347813129425,1
315,2.2599999999999995e-06,2.4e-06,2.4900000000000003e-06,2.16e-06,46.35683264,0.05882352963089942,1
